type,rcvTime,sendTime,sender,messageID,pos,pos_noise,spd,spd_noise,RSSI,repetition,attackerDensity,attackerType
3,10802.58213,10802.58202,25,521,"[3599.907312274775, 5696.761482470395, 1.895]","[0.0, 0.0, 0.0]","[1.4398961444346419, -33.56040398601323, 0.0]","[0.0, 0.0, 0.0]",2.88E-09,0,0.1,0
3,10802.67075,10802.67064,43,549,"[3829.3667362201413, 5262.327980580308, 1.895]","[0.0, 0.0, 0.0]","[5.060284391720792, -3.481430226852285, 0.0]","[0.0, 0.0, 0.0]",2.27E-09,0,0.1,0
3,10802.87012,10802.87001,19,573,"[3627.003043329184, 5337.808701405376, 1.895]","[0.0, 0.0, 0.0]","[4.940952624413968, -39.90182368532391, 0.0]","[0.0, 0.0, 0.0]",1.26E-08,0,0.1,0
3,10803.3929,10803.39278,13,603,"[3588.263021778535, 5658.4090838301045, 1.895]","[0.0, 0.0, 0.0]","[-1.6206340267970856, 38.77583958314621, 0.0]","[0.0, 0.0, 0.0]",2.66E-09,0,0.1,0
3,10803.45626,10803.45615,31,659,"[3602.3790971430108, 5602.477623842976, 1.895]","[0.0, 0.0, 0.0]","[2.512383221802747, -29.84390149528553, 0.0]","[0.0, 0.0, 0.0]",1.39E-08,0,0.1,0
3,10803.58214,10803.58202,25,689,"[3601.336889391266, 5663.441589404483, 1.895]","[0.0, 0.0, 0.0]","[1.4238173634748266, -33.1856475240909, 0.0]","[0.0, 0.0, 0.0]",2.66E-08,0,0.1,0
3,10803.67075,10803.67064,43,717,"[3835.37483477866, 5258.194462716815, 1.895]","[0.0, 0.0, 0.0]","[6.940681231823946, -4.775126369369575, 0.0]","[0.0, 0.0, 0.0]",5.48E-09,0,0.1,0
3,10803.87012,10803.87001,19,741,"[3632.6264555128014, 5297.923544243891, 1.895]","[0.0, 0.0, 0.0]","[6.251120541940336, -39.70526627774028, 0.0]","[0.0, 0.0, 0.0]",1.25E-08,0,0.1,0
3,10804.3929,10804.39278,13,765,"[3586.64159530315, 5697.203883806994, 1.895]","[0.0, 0.0, 0.0]","[-1.6212255685452028, 38.789993011627246, 0.0]","[0.0, 0.0, 0.0]",4.48E-09,0,0.1,0
3,10804.45626,10804.45615,31,817,"[3604.8903207624435, 5572.647496941699, 1.895]","[0.0, 0.0, 0.0]","[2.512135442474528, -29.84095819356318, 0.0]","[0.0, 0.0, 0.0]",2.45E-06,0,0.1,0
3,10804.58214,10804.58202,25,847,"[3603.3237298505082, 5630.548546019835, 1.895]","[0.0, 0.0, 0.0]","[2.755088564557343, -32.72468568251772, 0.0]","[0.0, 0.0, 0.0]",3.17E-08,0,0.1,0
3,10804.87013,10804.87001,19,887,"[3638.8903273693572, 5258.137285392278, 1.895]","[0.0, 0.0, 0.0]","[6.264281173056467, -39.788858708809975, 0.0]","[0.0, 0.0, 0.0]",6.41E-09,0,0.1,0
3,10805.3929,10805.39278,13,907,"[3585.0196044733407, 5736.012186719338, 1.895]","[0.0, 0.0, 0.0]","[-1.6215498233754115, 38.79775124279594, 0.0]","[0.0, 0.0, 0.0]",2.24E-09,0,0.1,0
3,10805.45627,10805.45615,31,957,"[3607.4017884206087, 5542.81447117219, 1.895]","[0.0, 0.0, 0.0]","[2.5099952478962613, -29.815535417470507, 0.0]","[0.0, 0.0, 0.0]",1.45E-07,0,0.1,0
3,10805.58213,10805.58202,25,985,"[3606.059551231734, 5598.052714148646, 1.895]","[0.0, 0.0, 0.0]","[2.7252956131406068, -32.370807777026926, 0.0]","[0.0, 0.0, 0.0]",2.69E-06,0,0.1,0
3,10805.67076,10805.67064,43,1009,"[3853.5873140583844, 5247.215126140976, 1.895]","[0.0, 0.0, 0.0]","[12.062131188983306, -4.818241963705452, 0.0]","[0.0, 0.0, 0.0]",2.25E-09,0,0.1,0
3,10805.87012,10805.87001,19,1029,"[3645.154262273462, 5218.35062608131, 1.895]","[0.0, 0.0, 0.0]","[6.248190670164705, -39.686656599992176, 0.0]","[0.0, 0.0, 0.0]",5.53E-09,0,0.1,0
3,10806.06819,10806.06807,49,1058,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-3.702477897933404, -32.14729983117567, 0.0]","[0.0, 0.0, 0.0]",4.63E-09,0,0.1,1
3,10806.3929,10806.39278,13,1079,"[3584.4157817031723, 5774.86769348827, 1.895]","[0.0, 0.0, 0.0]","[-0.037707722490183344, 38.905667826790285, 0.0]","[0.0, 0.0, 0.0]",1.67E-09,0,0.1,0
3,10806.45627,10806.45615,31,1143,"[3609.9127411706413, 5512.987561853178, 1.895]","[0.0, 0.0, 0.0]","[2.507657574800107, -29.78776684894064, 0.0]","[0.0, 0.0, 0.0]",1.97E-08,0,0.1,0
3,10806.58213,10806.58202,25,1170,"[3608.768657155875, 5565.874205991551, 1.895]","[0.0, 0.0, 0.0]","[2.6983355296285856, -32.05057841298574, 0.0]","[0.0, 0.0, 0.0]",4.14E-09,0,0.1,0
3,10807.06819,10807.06807,49,1225,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-3.705587567007226, -32.174299982619985, 0.0]","[0.0, 0.0, 0.0]",1.86E-09,0,0.1,1
3,10807.58214,10807.58202,25,1331,"[3611.454690865074, 5533.969747457286, 1.895]","[0.0, 0.0, 0.0]","[2.67702159308707, -31.79741345744395, 0.0]","[0.0, 0.0, 0.0]",1.66E-09,0,0.1,0
3,10808.06819,10808.06807,49,1378,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-3.692996290421967, -32.0649744026161, 0.0]","[0.0, 0.0, 0.0]",3.53E-09,0,0.1,1
3,10808.45627,10808.45615,31,1442,"[3616.010229045259, 5453.41877885493, 1.895]","[0.0, 0.0, 0.0]","[3.6775037461239224, -29.691351282252537, 0.0]","[0.0, 0.0, 0.0]",1.09E-08,0,0.1,0
3,10808.58213,10808.58202,25,1472,"[3614.121030579344, 5502.299212362792, 1.895]","[0.0, 0.0, 0.0]","[2.6580702391356605, -31.57231103811899, 0.0]","[0.0, 0.0, 0.0]",5.33E-09,0,0.1,0
3,10809.06818,10809.06807,49,1511,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-2.140879851639126, -32.25954698321503, 0.0]","[0.0, 0.0, 0.0]",2.23E-08,0,0.1,1
3,10809.3929,10809.39278,13,1535,"[3584.6276482153576, 5891.452273086082, 1.895]","[0.0, 0.0, 0.0]","[1.655923623283511, 38.79711963842775, 0.0]","[0.0, 0.0, 0.0]",5.46E-09,0,0.1,0
3,10809.45627,10809.45615,31,1583,"[3619.6917626302666, 5423.694891545467, 1.895]","[0.0, 0.0, 0.0]","[3.6762362439223626, -29.68111775003667, 0.0]","[0.0, 0.0, 0.0]",1.33E-08,0,0.1,0
3,10809.58213,10809.58202,25,1611,"[3617.168449393162, 5470.892022454396, 1.895]","[0.0, 0.0, 0.0]","[3.868788020185736, -31.2281622537075, 0.0]","[0.0, 0.0, 0.0]",1.28E-08,0,0.1,0
3,10810.06818,10810.06807,49,1649,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-2.1415904727752695, -32.270254877873924, 0.0]","[0.0, 0.0, 0.0]",3.19E-08,0,0.1,1
3,10810.45627,10810.45615,31,1732,"[3623.370838316425, 5393.990848767289, 1.895]","[0.0, 0.0, 0.0]","[3.6847433972728836, -29.74980262325351, 0.0]","[0.0, 0.0, 0.0]",5.09E-09,0,0.1,0
3,10810.58213,10810.58202,25,1761,"[3621.022575161762, 5439.782211262866, 1.895]","[0.0, 0.0, 0.0]","[3.8531140476229875, -31.101644761460356, 0.0]","[0.0, 0.0, 0.0]",2.27E-09,0,0.1,0
3,10810.63658,10810.63647,61,1786,"[3603.104602862711, 6050.462713124696, 1.895]","[0.0, 0.0, 0.0]","[-3.579117336991937, -31.0574067930121, 0.0]","[0.0, 0.0, 0.0]",9.45E-09,0,0.1,0
3,10811.06819,10811.06807,49,1825,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-1.2640569548368088, -32.285830398929306, 0.0]","[0.0, 0.0, 0.0]",1.55E-09,0,0.1,1
3,10811.3929,10811.39278,13,1850,"[3589.1626570628237, 5969.03450871884, 1.895]","[0.0, 0.0, 0.0]","[2.882762211234023, 38.7704133659448, 0.0]","[0.0, 0.0, 0.0]",8.86E-09,0,0.1,0
3,10811.63658,10811.63647,61,1952,"[3599.5201859423746, 6019.359319765638, 1.895]","[0.0, 0.0, 0.0]","[-3.576540192816008, -31.03504390084699, 0.0]","[0.0, 0.0, 0.0]",1.78E-08,0,0.1,0
3,10812.06819,10812.06807,49,1991,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-1.2643129474555062, -32.292368818212076, 0.0]","[0.0, 0.0, 0.0]",5.07E-08,0,0.1,1
3,10812.3929,10812.39278,13,2020,"[3592.0433638806035, 6007.777278995266, 1.895]","[0.0, 0.0, 0.0]","[2.885794192183747, 38.811190629598514, 0.0]","[0.0, 0.0, 0.0]",1.28E-08,0,0.1,0
3,10812.58213,10812.58202,25,2095,"[3628.6679040107692, 5378.070489521054, 1.895]","[0.0, 0.0, 0.0]","[3.806090333245026, -30.722077782162152, 0.0]","[0.0, 0.0, 0.0]",5.98E-09,0,0.1,0
3,10813.06819,10813.06807,49,2159,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-0.01888006737320214, -32.40527563540063, 0.0]","[0.0, 0.0, 0.0]",1.88E-07,0,0.1,1
3,10813.3929,10813.39278,13,2184,"[3596.1129651403676, 6046.435887419441, 1.895]","[0.0, 0.0, 0.0]","[4.084638355084353, 38.65489588513223, 0.0]","[0.0, 0.0, 0.0]",8.72E-09,0,0.1,0
3,10813.45627,10813.45615,31,2238,"[3634.8602939145794, 5304.963701156254, 1.895]","[0.0, 0.0, 0.0]","[4.657044367540613, -29.582815925626107, 0.0]","[0.0, 0.0, 0.0]",2.18E-09,0,0.1,0
3,10813.58214,10813.58202,25,2267,"[3632.4644460729223, 5347.425483668742, 1.895]","[0.0, 0.0, 0.0]","[3.79623152449773, -30.64249924811416, 0.0]","[0.0, 0.0, 0.0]",4.02E-09,0,0.1,0
3,10813.63658,10813.63647,61,2292,"[3594.8065003841034, 5956.910497014327, 1.895]","[0.0, 0.0, 0.0]","[-2.075409504615127, -31.264648443803164, 0.0]","[0.0, 0.0, 0.0]",3.90E-08,0,0.1,0
3,10814.06819,10814.06807,49,2331,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-0.018841480657512143, -32.33904636688297, 0.0]","[0.0, 0.0, 0.0]",1.88E-08,0,0.1,1
3,10814.58214,10814.58202,25,2404,"[3636.3241586280546, 5316.89671106465, 1.895]","[0.0, 0.0, 0.0]","[4.307119972974389, -30.478126163277203, 0.0]","[0.0, 0.0, 0.0]",1.79E-09,0,0.1,0
3,10814.63659,10814.63647,61,2424,"[3592.862864099637, 5925.659941290706, 1.895]","[0.0, 0.0, 0.0]","[-1.3917736654996238, -31.221989778881888, 0.0]","[0.0, 0.0, 0.0]",1.85E-07,0,0.1,0
3,10815.06818,10815.06807,49,2457,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-0.01885853319946473, -32.36831492357987, 0.0]","[0.0, 0.0, 0.0]",6.24E-08,0,0.1,1
3,10815.63658,10815.63647,61,2549,"[3591.6404900001307, 5894.37121641218, 1.895]","[0.0, 0.0, 0.0]","[-1.2189351104920638, -31.200698159730074, 0.0]","[0.0, 0.0, 0.0]",5.20E-07,0,0.1,0
3,10816.06819,10816.06807,49,2582,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-0.018832756262990236, -32.32407202861638, 0.0]","[0.0, 0.0, 0.0]",1.24E-08,0,0.1,1
3,10816.63658,10816.63647,61,2686,"[3591.2277535518883, 5863.079071338155, 1.895]","[0.0, 0.0, 0.0]","[-0.01821527931880642, -31.296126776526872, 0.0]","[0.0, 0.0, 0.0]",9.07E-08,0,0.1,0
3,10817.06819,10817.06807,49,2750,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[1.3845708013296405, -32.241619160028876, 0.0]","[0.0, 0.0, 0.0]",7.49E-09,0,0.1,1
3,10818.06819,10818.06807,49,2931,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[1.3870575426611453, -32.29952632294383, 0.0]","[0.0, 0.0, 0.0]",1.38E-08,0,0.1,1
3,10818.63657,10818.63647,61,3035,"[3591.191322125028, 5800.485326063798, 1.895]","[0.0, 0.0, 0.0]","[-0.01820431729268361, -31.27729264539649, 0.0]","[0.0, 0.0, 0.0]",1.82E-08,0,0.1,0
3,10819.06818,10819.06807,49,3103,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[1.3849480622852306, -32.25040419583322, 0.0]","[0.0, 0.0, 0.0]",1.44E-09,0,0.1,1
3,10819.63658,10819.63647,61,3192,"[3591.1731003131868, 5769.17797559424, 1.895]","[0.0, 0.0, 0.0]","[-0.018201279422833724, -31.272073209317465, 0.0]","[0.0, 0.0, 0.0]",1.65E-09,0,0.1,0
3,10820.06819,10820.06807,49,3257,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[2.7127456902534877, -32.22395152905128, 0.0]","[0.0, 0.0, 0.0]",2.44E-09,0,0.1,1
3,10800.4377,10800.43759,7,71,"[3609.398493800021, 5446.803263828545, 1.895]","[0.0, 0.0, 0.0]","[-3.534057725650672, 30.622234229193285, 0.0]","[0.0, 0.0, 0.0]",4.68E-08,0,0.1,0
3,10800.45626,10800.45615,31,104,"[3596.8058614714364, 5692.1134167356, 1.895]","[0.0, 0.0, 0.0]","[1.2824674250276291, -29.864002810956773, 0.0]","[0.0, 0.0, 0.0]",2.07E-09,0,0.1,0
3,10800.58213,10800.58202,25,137,"[3597.77049261071, 5764.800892637684, 1.895]","[0.0, 0.0, 0.0]","[-0.02016117102026233, -34.568847861282705, 0.0]","[0.0, 0.0, 0.0]",1.11E-08,0,0.1,0
3,10800.87013,10800.87001,19,193,"[3617.100033807479, 5417.782781289675, 1.895]","[0.0, 0.0, 0.0]","[4.9379503396949564, -39.87757802978829, 0.0]","[0.0, 0.0, 0.0]",2.56E-09,0,0.1,0
3,10800.90272,10800.9026,37,228,"[3592.5475914203594, 6044.106465394882, 1.895]","[0.0, 0.0, 0.0]","[4.097280715384571, 38.74899052793157, 0.0]","[0.0, 0.0, 0.0]",1.61E-09,0,0.1,0
3,10801.43769,10801.43759,7,284,"[3605.873369762498, 5477.348088600482, 1.895]","[0.0, 0.0, 0.0]","[-3.533871393396689, 30.620619680001727, 0.0]","[0.0, 0.0, 0.0]",2.78E-08,0,0.1,0
3,10801.45627,10801.45615,31,317,"[3598.0910889609227, 5662.1851420599705, 1.895]","[0.0, 0.0, 0.0]","[1.2827194215970819, -29.869870894753344, 0.0]","[0.0, 0.0, 0.0]",5.20E-08,0,0.1,0
3,10801.67076,10801.67064,43,381,"[3825.1961086986253, 5265.1973348684, 1.895]","[0.0, 0.0, 0.0]","[3.057783376452038, -2.2014119284437217, 0.0]","[0.0, 0.0, 0.0]",4.09E-09,0,0.1,0
3,10801.87012,10801.87001,19,410,"[3622.053411372471, 5377.780617077725, 1.895]","[0.0, 0.0, 0.0]","[4.947129899297883, -39.95170971986224, 0.0]","[0.0, 0.0, 0.0]",2.49E-08,0,0.1,0
3,10802.4377,10802.43759,7,467,"[3603.260815074918, 5507.988690204909, 1.895]","[0.0, 0.0, 0.0]","[-2.516746861911964, 30.722842233147297, 0.0]","[0.0, 0.0, 0.0]",1.23E-08,0,0.1,0
3,10802.45626,10802.45615,31,493,"[3599.8680687225988, 5632.305432029379, 1.895]","[0.0, 0.0, 0.0]","[2.5079472035336616, -29.791207268132045, 0.0]","[0.0, 0.0, 0.0]",3.55E-07,0,0.1,0
3,10802.58213,10802.58202,25,521,"[3599.907312274775, 5696.761482470395, 1.895]","[0.0, 0.0, 0.0]","[1.4398961444346419, -33.56040398601323, 0.0]","[0.0, 0.0, 0.0]",2.83E-08,0,0.1,0
3,10802.87012,10802.87001,19,573,"[3627.003043329184, 5337.808701405376, 1.895]","[0.0, 0.0, 0.0]","[4.940952624413968, -39.90182368532391, 0.0]","[0.0, 0.0, 0.0]",4.27E-09,0,0.1,0
3,10803.4377,10803.43759,7,631,"[3600.748307296057, 5538.659784412973, 1.895]","[0.0, 0.0, 0.0]","[-2.513008561419944, 30.677207442506138, 0.0]","[0.0, 0.0, 0.0]",6.36E-09,0,0.1,0
3,10803.45626,10803.45615,31,659,"[3602.3790971430108, 5602.477623842976, 1.895]","[0.0, 0.0, 0.0]","[2.512383221802747, -29.84390149528553, 0.0]","[0.0, 0.0, 0.0]",5.64E-08,0,0.1,0
3,10803.58214,10803.58202,25,689,"[3601.336889391266, 5663.441589404483, 1.895]","[0.0, 0.0, 0.0]","[1.4238173634748266, -33.1856475240909, 0.0]","[0.0, 0.0, 0.0]",2.87E-07,0,0.1,0
3,10804.45626,10804.45615,31,817,"[3604.8903207624435, 5572.647496941699, 1.895]","[0.0, 0.0, 0.0]","[2.512135442474528, -29.84095819356318, 0.0]","[0.0, 0.0, 0.0]",8.63E-09,0,0.1,0
3,10804.58214,10804.58202,25,847,"[3603.3237298505082, 5630.548546019835, 1.895]","[0.0, 0.0, 0.0]","[2.755088564557343, -32.72468568251772, 0.0]","[0.0, 0.0, 0.0]",1.43E-08,0,0.1,0
3,10805.45627,10805.45615,31,957,"[3607.4017884206087, 5542.81447117219, 1.895]","[0.0, 0.0, 0.0]","[2.5099952478962613, -29.815535417470507, 0.0]","[0.0, 0.0, 0.0]",6.47E-09,0,0.1,0
3,10806.06819,10806.06807,49,1058,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-3.702477897933404, -32.14729983117567, 0.0]","[0.0, 0.0, 0.0]",6.29E-09,0,0.1,1
3,10806.43769,10806.43759,7,1112,"[3593.2135577479044, 5630.639206395232, 1.895]","[0.0, 0.0, 0.0]","[-2.514574139833162, 30.6963190263213, 0.0]","[0.0, 0.0, 0.0]",2.82E-09,0,0.1,0
3,10806.45627,10806.45615,31,1143,"[3609.9127411706413, 5512.987561853178, 1.895]","[0.0, 0.0, 0.0]","[2.507657574800107, -29.78776684894064, 0.0]","[0.0, 0.0, 0.0]",6.57E-09,0,0.1,0
3,10806.58213,10806.58202,25,1170,"[3608.768657155875, 5565.874205991551, 1.895]","[0.0, 0.0, 0.0]","[2.6983355296285856, -32.05057841298574, 0.0]","[0.0, 0.0, 0.0]",2.26E-08,0,0.1,0
3,10807.06818,10807.06807,49,1225,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-3.705587567007226, -32.174299982619985, 0.0]","[0.0, 0.0, 0.0]",1.14E-08,0,0.1,1
3,10807.4377,10807.43759,7,1269,"[3591.4390525676604, 5661.3547946546505, 1.895]","[0.0, 0.0, 0.0]","[-1.2841689358281794, 30.75685151452743, 0.0]","[0.0, 0.0, 0.0]",4.36E-09,0,0.1,0
3,10807.45626,10807.45615,31,1297,"[3612.424136365454, 5483.155396855679, 1.895]","[0.0, 0.0, 0.0]","[2.5087562373626144, -29.800817555937677, 0.0]","[0.0, 0.0, 0.0]",5.65E-09,0,0.1,0
3,10808.06819,10808.06807,49,1378,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-3.692996290421967, -32.0649744026161, 0.0]","[0.0, 0.0, 0.0]",3.16E-09,0,0.1,1
3,10808.58213,10808.58202,25,1472,"[3614.121030579344, 5502.299212362792, 1.895]","[0.0, 0.0, 0.0]","[2.6580702391356605, -31.57231103811899, 0.0]","[0.0, 0.0, 0.0]",1.47E-09,0,0.1,0
3,10809.06818,10809.06807,49,1511,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-2.140879851639126, -32.25954698321503, 0.0]","[0.0, 0.0, 0.0]",2.84E-08,0,0.1,1
3,10809.43769,10809.43759,7,1559,"[3588.873085163223, 5722.811723137665, 1.895]","[0.0, 0.0, 0.0]","[-1.2819627450792523, 30.704011518648137, 0.0]","[0.0, 0.0, 0.0]",2.10E-09,0,0.1,0
3,10810.06818,10810.06807,49,1649,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-2.1415904727752695, -32.270254877873924, 0.0]","[0.0, 0.0, 0.0]",2.01E-07,0,0.1,1
3,10810.4377,10810.43759,7,1703,"[3587.736528964142, 5753.527569958904, 1.895]","[0.0, 0.0, 0.0]","[-0.28607726155537805, 30.810100803636978, 0.0]","[0.0, 0.0, 0.0]",4.17E-09,0,0.1,0
3,10810.58213,10810.58202,25,1761,"[3621.022575161762, 5439.782211262866, 1.895]","[0.0, 0.0, 0.0]","[3.8531140476229875, -31.101644761460356, 0.0]","[0.0, 0.0, 0.0]",1.75E-09,0,0.1,0
3,10810.63658,10810.63647,61,1786,"[3603.104602862711, 6050.462713124696, 1.895]","[0.0, 0.0, 0.0]","[-3.579117336991937, -31.0574067930121, 0.0]","[0.0, 0.0, 0.0]",4.52E-08,0,0.1,0
3,10811.06819,10811.06807,49,1825,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-1.2640569548368088, -32.285830398929306, 0.0]","[0.0, 0.0, 0.0]",4.48E-08,0,0.1,1
3,10811.4377,10811.43759,7,1875,"[3587.7066741397925, 5784.298707763248, 1.895]","[0.0, 0.0, 0.0]","[-0.029815722442925865, 30.730835769973197, 0.0]","[0.0, 0.0, 0.0]",2.62E-09,0,0.1,0
3,10811.63658,10811.63647,61,1952,"[3599.5201859423746, 6019.359319765638, 1.895]","[0.0, 0.0, 0.0]","[-3.576540192816008, -31.03504390084699, 0.0]","[0.0, 0.0, 0.0]",4.34E-07,0,0.1,0
3,10812.06819,10812.06807,49,1991,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-1.2643129474555062, -32.292368818212076, 0.0]","[0.0, 0.0, 0.0]",5.10E-08,0,0.1,1
3,10812.4377,10812.43759,7,2045,"[3587.6768229632257, 5815.066085826094, 1.895]","[0.0, 0.0, 0.0]","[-0.029896657069190192, 30.81425446668914, 0.0]","[0.0, 0.0, 0.0]",1.27E-08,0,0.1,0
3,10812.63658,10812.63647,61,2120,"[3596.882081337749, 5988.17772822246, 1.895]","[0.0, 0.0, 0.0]","[-2.069561085195622, -31.17654593836066, 0.0]","[0.0, 0.0, 0.0]",5.86E-07,0,0.1,0
3,10813.06819,10813.06807,49,2159,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-0.01888006737320214, -32.40527563540063, 0.0]","[0.0, 0.0, 0.0]",1.24E-08,0,0.1,1
3,10813.4377,10813.43759,7,2209,"[3587.6469919709716, 5845.812660073549, 1.895]","[0.0, 0.0, 0.0]","[-0.02987801080683267, 30.79503590751018, 0.0]","[0.0, 0.0, 0.0]",2.77E-08,0,0.1,0
3,10813.63658,10813.63647,61,2292,"[3594.8065003841034, 5956.910497014327, 1.895]","[0.0, 0.0, 0.0]","[-2.075409504615127, -31.264648443803164, 0.0]","[0.0, 0.0, 0.0]",2.63E-08,0,0.1,0
3,10814.06819,10814.06807,49,2331,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[-0.018841480657512143, -32.33904636688297, 0.0]","[0.0, 0.0, 0.0]",6.02E-09,0,0.1,1
3,10816.45626,10816.45615,31,2628,"[3648.829928950166, 5216.224769509742, 1.895]","[0.0, 0.0, 0.0]","[4.656500993458658, -29.579364265260704, 0.0]","[0.0, 0.0, 0.0]",4.27E-07,0,0.1,0
3,10816.58213,10816.58202,25,2661,"[3645.8497808324396, 5256.385948034099, 1.895]","[0.0, 0.0, 0.0]","[4.754562689788641, -30.202984126680505, 0.0]","[0.0, 0.0, 0.0]",2.06E-08,0,0.1,0
3,10817.06819,10817.06807,49,2750,"[5560.0, 5820.0, 1.895]","[0.0, 0.0, 0.0]","[1.3845708013296405, -32.241619160028876, 0.0]","[0.0, 0.0, 0.0]",3.00E-09,0,0.1,1
3,10817.45627,10817.45615,31,2796,"[3653.484801712205, 5186.655748214518, 1.895]","[0.0, 0.0, 0.0]","[4.6542211386947026, -29.56488200603384, 0.0]","[0.0, 0.0, 0.0]",1.76E-08,0,0.1,0
3,10817.58213,10817.58202,25,2829,"[3650.5909455678006, 5226.268073355199, 1.895]","[0.0, 0.0, 0.0]","[4.740527274158122, -30.113825256920958, 0.0]","[0.0, 0.0, 0.0]",2.02E-06,0,0.1,0
3,10817.63658,10817.63647,61,2854,"[3591.209543424508, 5831.791796232255, 1.895]","[0.0, 0.0, 0.0]","[-0.018178435948347706, -31.23282526471497, 0.0]","[0.0, 0.0, 0.0]",1.59E-09,0,0.1,0
